hsmc_pin,hsmc_net,fpga_pin,fpga_signal
158,FE_C30,D7,DIFFIO_T4p
159,FE_C33,A10,DIFFIO_T19n
160,FE_C32,C7,DIFFIO_T4n
161,FE_C35,A8,DIFFIO_T5n
162,FE_C34,G8,G8
163,FE_C37,B8,DIFFIO_T17n
164,FE_C36,D6,D6
165,FE_C39,A7,DIFFIO_12n
166,FE_C38,C6,DIFFIO_T2p
167,FE_VCCIO_C,,
168,FE_VCCIO_C,,
169,FE_C41,B6,DIFFIO_T8p
170,FE_C40,D5,PLL3_CLKOUTp
171,FE_C43,A6,DIFFIO_T8n
172,FE_C42,C5,PLL3_CLKOUTn
173,FE_C45,B7,DIFFIO_T11p
174,FE_C44,C4,DIFFIO_T1p
175,FE_C47,B4,DIFFIO_T3p
176,FE_C46,D4,D4
177,FE_C49,A4,DIFFIO_T3n
178,FE_C48,C3,C3
179,FE_C51,B3,DIFFIO_T10n
180,FE_C50,A3,DIFFIO_T2n
